"2001:503:ff39::", "2001:503:ff39:ffff:ffff:ffff:ffff:ffff", "42540589890695934837856515329965948928", "42540589890697143763676129959140655103", "US", "United States"
"2001:504::", "2001:504:14:ffff:ffff:ffff:ffff:ffff", "42540589890936511075959826535732477952", "42540589890961898518171733748401307647", "US", "United States"
"2001:504:15::", "2001:504:15:ffff:ffff:ffff:ffff:ffff", "42540589890961898518171733748401307648", "42540589890963107443991348377576013823", "CA", "Canada"
"2001:504:16::", "2001:504:19:ffff:ffff:ffff:ffff:ffff", "42540589890963107443991348377576013824", "42540589890967943147269806894274838527", "US", "United States"
"2001:504:1a::", "2001:504:1a:ffff:ffff:ffff:ffff:ffff", "42540589890967943147269806894274838528", "42540589890969152073089421523449544703", "CA", "Canada"
"2001:504:1b::", "2001:504:1b:ffff:ffff:ffff:ffff:ffff", "42540589890969152073089421523449544704", "42540589890970360998909036152624250879", "US", "United States"
"2001:506::", "2001:506:1:ffff:ffff:ffff:ffff:ffff", "42540590049392836104488501722820378624", "42540590049395253956127730981169790975", "US", "United States"
"2001:506:8::", "2001:506:8:ffff:ffff:ffff:ffff:ffff", "42540590049402507511045418756218028032", "42540590049403716436865033385392734207", "US", "United States"
"2001:506:20::", "2001:506:20:ffff:ffff:ffff:ffff:ffff", "42540590049431521730716169856410976256", "42540590049432730656535784485585682431", "CA", "Canada"
"2001:506:1000::", "2001:506:2fff:ffff:ffff:ffff:ffff:ffff", "42540590054344596261630022822416875520", "42540590064248116575913065021609869311", "US", "United States"
"2001:508::", "2001:508:ffff:ffff:ffff:ffff:ffff:ffff", "42540590207849161133017176909908279296", "42540590287077323647281514503452229631", "BM", "Bermuda"
"2001:510::", "2001:510:ffff:ffff:ffff:ffff:ffff:ffff", "42540590841674461247131877658259881984", "42540590920902623761396215251803832319", "CA", "Canada"
"2001:518::", "2001:518:ffff:ffff:ffff:ffff:ffff:ffff", "42540591475499761361246578406611484672", "42540591554727923875510916000155435007", "US", "United States"
"2001:520::", "2001:520:ffff:ffff:ffff:ffff:ffff:ffff", "42540592109325061475361279154963087360", "42540592188553223989625616748507037695", "US", "United States"
"2001:528::", "2001:528:ffff:ffff:ffff:ffff:ffff:ffff", "42540592743150361589475979903314690048", "42540592822378524103740317496858640383", "US", "United States"
"2001:530::", "2001:530:ffff:ffff:ffff:ffff:ffff:ffff", "42540593376975661703590680651666292736", "42540593456203824217855018245210243071", "US", "United States"
"2001:538::", "2001:538:ffff:ffff:ffff:ffff:ffff:ffff", "42540594010800961817705381400017895424", "42540594090029124331969718993561845759", "US", "United States"
"2001:540::", "2001:540:ffff:ffff:ffff:ffff:ffff:ffff", "42540594644626261931820082148369498112", "42540594723854424446084419741913448447", "US", "United States"
"2001:548::", "2001:548:ffff:ffff:ffff:ffff:ffff:ffff", "42540595278451562045934782896721100800", "42540595357679724560199120490265051135", "US", "United States"
"2001:550::", "2001:550:ffff:ffff:ffff:ffff:ffff:ffff", "42540595912276862160049483645072703488", "42540595991505024674313821238616653823", "US", "United States"
"2001:558::", "2001:560:ffff:ffff:ffff:ffff:ffff:ffff", "42540596546102162274164184393424306176", "42540597259155624902543222735319859199", "US", "United States"
"2001:568::", "2001:568:ffff:ffff:ffff:ffff:ffff:ffff", "42540597813752762502393585890127511552", "42540597892980925016657923483671461887", "CA", "Canada"
"2001:570::", "2001:570:ffff:ffff:ffff:ffff:ffff:ffff", "42540598447578062616508286638479114240", "42540598526806225130772624232023064575", "US", "United States"
"2001:578::", "2001:57b:ffff:ffff:ffff:ffff:ffff:ffff", "42540599081403362730622987386830716928", "42540599398316012787680337761006518271", "US", "United States"
"2001:580::", "2001:580:ffff:ffff:ffff:ffff:ffff:ffff", "42540599715228662844737688135182319616", "42540599794456825359002025728726269951", "US", "United States"
